"time","I0","Ii","Iy"
8.16,300,-124.51785772321948,338.34404020729374
8.18,300,-124.50499467954644,338.3290134813818
8.2,300,-124.49219955958594,338.3140661821407
8.22,300,-124.47947199928716,338.2991978898188
8.24,300,-124.46681163625696,338.2844081867501
8.26,300,-124.45421810974442,338.2696966573374
8.28,300,-124.44169106062498,338.25506288803524
8.3,300,-124.42923029461842,338.24050645700294
8.32,300,-124.41683556749489,338.2260269476785
8.34,300,-124.40450632906709,338.2116239649594
8.36,300,-124.39224223376134,338.197297102877
8.38,300,-124.3800429379058,338.1830459574055
8.4,300,-124.36790809972214,338.16887012644435
8.42,300,-124.35583737931762,338.1547692098
8.44,300,-124.34383043867675,338.14074280916867
8.46,300,-124.33188694165311,338.1267905281182
8.48,300,-124.32000655396128,338.11291197207066
8.5,300,-124.30818894316872,338.0991067482847
8.52,300,-124.29643377868733,338.08537446583733
8.54,300,-124.28474073176561,338.0717147356066
8.56,300,-124.27310947548034,338.0581271702537
8.58,300,-124.26153968472829,338.04461138420567
8.6,300,-124.25003103621839,338.03116699363676
8.62,300,-124.23858320846318,338.0177936164515
8.64,300,-124.22719588177091,338.0044908722669
8.66,300,-124.21586873823725,337.99125838239445
8.68,300,-124.20460146173718,337.97809576982223
8.7,300,-124.19339373791676,337.96500265919775
8.72,300,-124.18224525418509,337.95197867680974
8.74,300,-124.17115568247773,337.93902350402874
8.76,300,-124.16012461834953,337.92613706625593
8.78,300,-124.14915184304934,337.9133187196775
8.8,300,-124.13823704874736,337.900568103825
8.82,300,-124.12737992922636,337.88788486012237
8.84,300,-124.11658017987149,337.87526863187503
8.86,300,-124.10583749765962,337.86271906425986
8.88,300,-124.0951515811487,337.85023580431397
8.9,300,-124.08452213046756,337.8378185009254
8.92,300,-124.07394884730512,337.8254668048216
8.94,300,-124.06343143489997,337.8131803685596
8.96,300,-124.05296959803,337.80095884651536
8.98,300,-124.04256304300165,337.7888018948731
9,300,-124.03221147763962,337.7767091716152
9.02,300,-124.02191461127615,337.7646803365116
9.04,300,-124.01167215474068,337.7527150511095
9.06,300,-124.00148382034934,337.74081297872215
9.08,300,-123.99134932189428,337.72897378441957
9.1,300,-123.98126837463327,337.71719713501733
9.12,300,-123.97124069527928,337.7054826990659
9.14,300,-123.9612660019898,337.693830146841
9.16,300,-123.95134401435641,337.6822391503326
9.18,300,-123.94147445339425,337.6707093832343
9.2,300,-123.93165704153162,337.6592405209332
9.22,300,-123.92189150259921,337.64783224049967
9.24,300,-123.91217756181995,337.6364842206761
9.26,300,-123.90251495510847,337.62519616790723
9.28,300,-123.89290341620146,337.61396778036277
9.3,300,-123.88334266337016,337.6027987107935
9.32,300,-123.87383242763852,337.59168864547286
9.34,300,-123.86437244138567,337.5806372723385
9.36,300,-123.85496243833556,337.56964428098155
9.38,300,-123.84560215354679,337.55870936263824
9.4,300,-123.8362913234025,337.5478322101797
9.42,300,-123.82702968560005,337.5370125181026
9.44,300,-123.81781697914089,337.5262499825188
9.46,300,-123.80865294432041,337.5155443011472
9.48,300,-123.79953732271763,337.50489517330294
9.5,300,-123.7904698571851,337.49430229988803
9.52,300,-123.78145029183865,337.4837653833826
9.54,300,-123.77247837204723,337.4732841278342
9.56,300,-123.7635538444227,337.4628582388487
9.58,300,-123.7546764568096,337.45248742358086
9.6,300,-123.74584595827501,337.4421713907248
9.62,300,-123.73706209909831,337.4319098505037
9.64,300,-123.72832463076098,337.4217025146613
